,lat,long,gridX,gridY,grid
"1862 HUTCHINSON PL, Port Coquitlam, BC, Canada",49.245947,-122.768464,4,3,"[4,3]"
"1651 KNAPPEN ST, Port Coquitlam, BC, Canada",49.24600700000001,-122.7714981,3,3,"[3,3]"
"1948 BROWN ST, Port Coquitlam, BC, Canada",49.2517739,-122.7664982,4,4,"[4,4]"
"1960 MORGAN AVE, Port Coquitlam, BC, Canada",49.2489584,-122.770837,3,3,"[3,3]"
"1928 PITT RIVER RD, Port Coquitlam, BC, Canada",49.25130189999999,-122.7727975,3,4,"[3,4]"
"1692 TAYLOR ST, Port Coquitlam, BC, Canada",49.2470358,-122.7695025,3,3,"[3,3]"
"1711 CAMERON AVE, Port Coquitlam, BC, Canada",49.2483549,-122.762736,5,3,"[5,3]"
"1662 KNAPPEN ST, Port Coquitlam, BC, Canada",49.246306,-122.7722123,3,3,"[3,3]"
"1916 CAMPBELL AVE, Port Coquitlam, BC, Canada",49.2423146,-122.7695863,3,2,"[3,2]"
"1870 LANGAN AVE, Port Coquitlam, BC, Canada",49.249879,-122.768587,4,3,"[4,3]"
"1833 PITT RIVER RD, Port Coquitlam, BC, Canada",49.2496702,-122.7716273,3,3,"[3,3]"
"1939 BROWN ST, Port Coquitlam, BC, Canada",49.252027,-122.7671259,4,4,"[4,4]"
"1863 MORGAN AVE, Port Coquitlam, BC, Canada",49.2494052,-122.7684593,4,3,"[4,3]"
"1919 WARWICK AVE, Port Coquitlam, BC, Canada",49.2511739,-122.7701386,3,4,"[3,4]"
"1586 KNAPPEN ST, Port Coquitlam, BC, Canada",49.244032,-122.772298,3,2,"[3,2]"
"1838 PITT RIVER RD, Port Coquitlam, BC, Canada",49.249874,-122.772434,3,3,"[3,3]"
"1734 MORGAN AVE, Port Coquitlam, BC, Canada",49.2489285,-122.7635561,4,3,"[4,3]"
"1629 KNAPPEN ST, Port Coquitlam, BC, Canada",49.2456457,-122.7716377,3,3,"[3,3]"
"1852 MERCER PL, Port Coquitlam, BC, Canada",49.245244,-122.7681528,4,3,"[4,3]"
"1649 MAGELLAN ST, Port Coquitlam, BC, Canada",49.2460441,-122.7703919,3,3,"[3,3]"
"1824 LANGAN AVE, Port Coquitlam, BC, Canada",49.249916,-122.7674111,4,3,"[4,3]"
"1857 WARWICK AVE, Port Coquitlam, BC, Canada",49.2512862,-122.7675592,4,4,"[4,4]"
